"Origen del agua";"Nombre del río, canal, tranque o pozo";"Tipo de conducción";"Superficie del predio (ha)";"Cultivo principal";"Grado de afectación";"Observaciones adicionales";"Ubicación GPS del punto reportado";"_Ubicación GPS del punto reportado_latitude";"_Ubicación GPS del punto reportado_longitude";"_Ubicación GPS del punto reportado_altitude";"_Ubicación GPS del punto reportado_precision";"Fotografía del punto (opcional)";"Fotografía del punto (opcional)_URL";"_uuid"
"Río";"Ancoa";"Canal abierto";"5";"Plantaciones de berries";"Leve";"no me alcansa el agua para regar todo el predio";"-37.471112 -72.324114 0 0";"-37.471112";"-72.324114";"0";"0";"";"";"f858cae0-37b5-40d9-88b3-3f5f410f6ef3"
"Río";"Ancoa";"Canal abierto";"5";"Alfalfa";"Media";"";"-37.472192 -72.318498 0 0";"-37.472192";"-72.318498";"0";"0";"";"";"3233a0ea-3d39-4160-8656-6fcdde2b3eb7"
"Canal";"Canal las trancas";"Canal abierto";"5";"Maíz";"Leve";"No logro regar en 4 dias";"-37.472617 -72.330609 167.3000030517578 16.006999969482422";"-37.472617";"-72.330609";"167.3000030517578";"16.006999969482422";"";"";"644573eb-93b4-4622-8783-39dac559c6ea"
"Estero";"Marga marga";"Canal revestido";"25";"Alfalfa";"Media";"No alcansa el agua";"-37.472612 -72.33061 167.3000030517578 13";"-37.472612";"-72.33061";"167.3000030517578";"13";"IMG-20251119-WA0020-22_18_1.jpg";"https://kf.kobotoolbox.org/api/v2/assets/aUNMmtJDJa6dU6YHq8nfeC/data/610092520/attachments/attothuNETXgGyUFLi2MF4JX/";"5c1dea3a-397a-4b57-8918-ac4a002de692"
"Río";"rio achibueno";"Canal abierto";"17";"Otros";"Media";"";"-35.887928 -71.590228 0 0";"-35.887928";"-71.590228";"0";"0";"";"";"2444ae21-81e2-462c-8653-4042d998a60e"
"Canal";"Machali";"Canal abierto";"";"Maíz";"Media";"";"-34.144144 -70.754673 0 2000";"-34.144144";"-70.754673";"0";"2000";"";"";"a217f67e-69a1-4602-a33c-99dfa25baa51"
"Pozo/Noria";"pozo de la casa de mi vecino";"Tubería";"0.5";"Maíz";"Media";"no me alcanza para pasar la epoca de verano";"-37.417115 -72.520603 1000 0.2";"-37.417115";"-72.520603";"1000";"0.2";"";"";"3b0d3e44-7ae6-491f-b44a-a5f1a9484d01"
"Embalse";"Río bio nio";"Canal abierto";"30";"Otros";"Pérdida total";"No me alcansa para regar";"-37.471995 -72.345777 165.70001220703125 13.383000373840332";"-37.471995";"-72.345777";"165.70001220703125";"13.383000373840332";"";"";"f2edf966-9b35-42e5-9671-7f5267dac56e"
"Canal";"Canal machicura";"Canal abierto";"2500";"Maíz";"Leve";"";"-35.706788 -71.390545 266.4000244140625 100";"-35.706788";"-71.390545";"266.4000244140625";"100";"";"";"67008fd7-d0ec-46af-bffb-8a243ada3d57"
"Canal";"Machicura";"Canal abierto";"1";"Alfalfa";"Leve";"";"-35.697588 -71.388187 267.8000183105469 20";"-35.697588";"-71.388187";"267.8000183105469";"20";"";"";"8af812f1-033c-4f59-803c-dac02ee6d53e"
"Canal";"Machicura";"Canal abierto";"1";"Otros";"Leve";"";"-35.697587 -71.388188 267.8000183105469 22.006999969482422";"-35.697587";"-71.388188";"267.8000183105469";"22.006999969482422";"";"";"afa4e6a5-91db-456d-90e2-9e7bfb45c9c4"
"Pozo/Noria";"pozo sin nombre";"Tubería";"100";"Otros";"Severa";"no me alzansa el agua para regar";"-35.700513 -71.412044 0 0";"-35.700513";"-71.412044";"0";"0";"";"";"da2b21f8-6fd4-49fe-8978-26a71e2529db"
"Canal";"sin sin nombre";"Canal abierto";"1";"Plantaciones de berries";"Pérdida total";"nunca trae agua";"-35.687241 -71.402648 0 0";"-35.687241";"-71.402648";"0";"0";"";"";"2eb7faf6-790f-4489-b95c-bf79022fb592"
"Tranque";"tranque las abuelas";"Canal abierto";"10";"Hortalizas";"Severa";"";"-35.889875 -71.596236 0 0";"-35.889875";"-71.596236";"0";"0";"";"";"deead797-9c3b-44b8-9f5e-079e5e4dac7e"
"Río";"Ancoa";"Riguero";"200";"Plantaciones de berries";"Media";"el caudal varia";"-35.876791 -71.594242 0 0";"-35.876791";"-71.594242";"0";"0";"";"";"387640bd-a614-4392-9feb-2ea5d59c153e"
